タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
森山公民館,吉野川市鴨島町山路1082番地1,34.063226,134.370475,,,,,,,,,,,0883-22-3655,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
牛島公民館,吉野川市鴨島町牛島675番地14,34.075528,134.386595,,,,,,,,,,,0883-24-8685,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
神島会館,吉野川市鴨島町喜来乙21番地1,34.078694,134.360205,,,,,,,,,,,0883-22-1091,指定避難所（法指定）,"崖崩れ等,大規模な火事,内水反乱",
吉野川市役所,吉野川市鴨島町鴨島115番地1,34.06625,134.358641,,,,,,,,,,,0883-22-2235,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
岡野コミュニティセンター,吉野川市鴨島町山路字宮ノ南1656番地,34.060119,134.381175,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
県立吉野川高校,吉野川市鴨島町喜来681-9,34.078681,134.363562,,,,,,,,,,,0883-24-2117,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
文化研修センター,吉野川市鴨島町鴨島696番地14,34.075075,134.355766,,,,,,,,,,,0883-22-0015,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鴨島老人福祉センター,吉野川市鴨島町鴨島甲１番地,34.074915,134.350734,,,,,,,,,,,0883-24-5114,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鴨島公民館,吉野川市鴨島町鴨島甲１番地,34.07499054,134.3507447,,,,,,,,,,,0883-24-5111,指定避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
上浦公民館,吉野川市鴨島町上浦450番地６,34.069467,134.397007,,,,,,,,,,,0883-22-1977,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鴨島体育館,吉野川市鴨島町鴨島甲１番地,34.075315,134.350348,,,,,,,,,,,0883-22-1777,指定避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
飯尾敷地コミュニティセンター,吉野川市鴨島町飯尾550番地74,34.057682,134.354156,,,,,,,,,,,0883-24-4244,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
知恵島小学校・体育館,吉野川市鴨島町知恵島７８１番地,34.080025,134.350187,,,,,,,,,,,0883-24-2329,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
飯尾敷地小学校・体育館,吉野川市鴨島町飯尾7番地,34.062552,134.350466,,,,,,,,,,,0883-24-2527,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
鴨島第一中学校・体育館,吉野川市鴨島町鴨島633番地2,34.075066,134.348009,,,,,,,,,,,0883-24-2449,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鴨島小学校・体育館,吉野川市鴨島町鴨島５６４番地,34.073173,134.354306,,,,,,,,,,,0883-24-2237,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
森山小学校・体育館,吉野川市鴨島町山路1086番地,34.062908,134.37011,,,,,,,,,,,0883-24-2205,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鴨島東中学校・体育館,吉野川市鴨島町麻植塚215番地３,34.069618,134.375668,,,,,,,,,,,0883-24-2034,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
牛島小学校・体育館,吉野川市鴨島町牛島865番地１,34.073333,134.38616,,,,,,,,,,,0883-24-2019,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
上浦小学校・体育館,吉野川市鴨島町上浦９３１番地,34.068196,134.396439,,,,,,,,,,,0883-24-2009,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
あすみが丘集会所,阿南市羽ノ浦町岩脇奥ノ谷6-214,33.949412,134.614567,,,,,,,,,,,0884-44-1807,指定避難所（法指定）,津波,
岩脇小学校,阿南市羽ノ浦町岩脇町筋87,33.942416,134.615629,,,,,,,,,,,0884-44-2234,指定避難所（法指定）,津波,
岩脇福祉会館,阿南市羽ノ浦町岩脇町筋20-2,33.941672,134.618043,,,,,,,,,,,0884-44-3863,指定避難所（法指定）,津波,
阿南市情報文化センター,阿南市羽ノ浦町中庄ナカレ16-3,33.954138,134.623745,,,,,,,,,,,0884-44-5000,指定避難所（法指定）,津波,
羽ノ浦小学校,阿南市羽ノ浦町中庄原婦知1-1,33.95824,134.62772,,,,,,,,,,,0884-44-2053,指定避難所（法指定）,津波,
